,Period Code,Cycle ID,B_2,B_3,B_10,B_15,B_16,B_17,B_18,B_19,B_21,B_24,B_25,timestamp,Good/Bad
25,1,42,0.0005,-0.0004,21.61,47.49,522.23,2388.05,8130.88,8.4137,392.0,39.0,23.375,03/01/2020 03:25,0
26,1,43,-0.0027,0.0005,21.61,47.32,522.74,2388.09,8127.22,8.4068,392.0,38.99,23.3148,03/01/2020 03:30,0
27,1,44,-0.0001,0.0002,21.61,47.45,522.3,2388.0,8131.45,8.4201,392.0,39.06,23.4753,03/01/2020 03:35,0
28,1,45,-0.0013,0.0,21.61,47.45,521.73,2388.05,8128.31,8.4099,393.0,38.79,23.3943,03/01/2020 03:40,0
29,1,46,0.0003,0.0001,21.61,47.2,522.02,2388.08,8128.71,8.3977,393.0,38.93,23.3745,03/01/2020 03:45,0
30,1,47,0.0,0.0005,21.61,47.22,521.84,2388.05,8126.21,8.3973,392.0,38.99,23.4873,03/01/2020 03:50,0
31,1,48,0.0019,0.0001,21.61,47.4,521.91,2388.06,8129.99,8.4376,392.0,38.94,23.365,03/01/2020 03:55,0
32,1,49,-0.0014,0.0005,21.61,47.22,521.37,2388.04,8135.48,8.4151,392.0,39.06,23.4498,03/01/2020 04:00,0
33,1,50,-0.0032,-0.0001,21.61,47.47,522.33,2388.09,8127.3,8.4116,392.0,38.85,23.4106,03/01/2020 04:05,0
34,1,51,-0.001,0.0003,21.61,47.12,521.91,2388.05,8134.36,8.4504,393.0,38.94,23.3651,03/01/2020 04:10,0
35,1,52,0.0018,-0.0001,21.61,47.07,522.1,2388.07,8132.82,8.4539,391.0,39.0,23.3388,03/01/2020 04:15,0
36,1,53,0.0021,-0.0001,21.61,47.51933333333333,521.96,2388.06,8134.38,8.4418,392.0,38.84373134328359,23.3775,03/01/2020 04:20,0
37,1,54,-0.0002,0.0005,21.61,47.38,522.44,2388.06,8129.95,8.4189,392.0,38.96,23.2348,03/01/2020 04:25,0
38,1,57,-0.0033,0.0,21.61,47.29,521.62,2388.08,8135.48,8.4263,392.0,38.84,23.3567,03/01/2020 04:40,0
39,1,58,-0.0014,0.0001,21.61,47.26,521.4833333333333,2388.04,8132.08,8.4319,390.0,38.93,23.2893,03/01/2020 04:45,0
40,1,59,-0.0006,0.0002,21.61,47.26,521.32,2388.02,8128.81,8.4476,392.0,38.92,23.4444,03/01/2020 04:50,0
41,1,60,-0.001,-0.0002,21.61,47.41,522.49,2388.03,8132.89,8.3878,393.0,38.89,23.387,03/01/2020 04:55,0
42,1,62,0.0004,0.0001,21.61,47.28,522.19,2388.1,8132.28,8.4071,391.0,39.03,23.2707,03/01/2020 05:05,0
43,1,63,0.0015,0.0002,21.61,47.51,521.56,2388.01,8130.73,8.4357,394.0,38.77,23.3436,03/01/2020 05:10,0
44,1,64,0.0017,0.0002,21.61,47.45,521.82,2388.04,8128.15,8.4066,391.0,38.93,23.384,03/01/2020 05:15,0
45,1,65,0.0,0.0005,21.61,47.56,521.54,2388.13,8132.94,8.4406,392.0,38.9,23.3752,03/01/2020 05:20,0
46,1,67,0.0016,-0.0004,21.61,47.39,522.64,2388.08,8134.07,8.3925,393.0,38.97,23.291,03/01/2020 05:30,0
47,1,68,-0.0018,0.0,21.61,47.36,521.72,2388.07,8132.39,8.4242,392.0,38.95,23.3174,03/01/2020 05:35,0
48,1,69,-0.0022,0.0005,21.61,47.41,522.22,2388.1,8129.13,8.4292,392.0,39.0,23.3742,03/01/2020 05:40,0
49,1,70,-0.0005,0.0002,21.61,47.41,521.93,2388.12,8130.36,8.4279,392.0,38.86,23.4513,03/01/2020 05:45,0
50,1,71,0.0016,-0.0003,21.61,47.3,521.72,2388.09,8134.28,8.423,391.0,38.8,23.3881,03/01/2020 05:50,0
51,1,72,-0.0017,0.0001,21.61,47.27,521.97,2388.09,8133.95,8.3951,391.0,38.84,23.3085,03/01/2020 05:55,0
52,1,74,0.0027,0.0001,21.61,47.58,522.25,2387.97,8132.67,8.4135,392.0,38.8,23.382,03/01/2020 06:05,0
53,1,76,-0.0015,0.0002,21.61,47.44,521.58,2388.03,8136.44,8.3996,392.74436090225566,39.02,23.4428,03/01/2020 06:15,0
54,1,77,-0.0003455223880597015,0.0004,21.61,47.41,521.6,2388.08,8135.25,8.453,393.0,38.99,23.275,03/01/2020 06:20,0
55,1,80,-0.0002,-0.0004,21.61,47.64,521.52,2388.1,8134.66,8.4235,392.0,38.89,23.3613,03/01/2020 06:35,0
56,1,81,-0.0018,-0.0004,21.61,47.43,521.66,2388.05,8128.87,8.4247,392.0,38.77,23.373,03/01/2020 06:40,0
57,1,82,-0.0012,0.0001,21.61,47.25,521.95,2388.03,8134.04,8.3986,392.74436090225566,38.89,23.2713,03/01/2020 06:45,0
58,1,83,0.0004,0.0005,21.61,47.22,521.93,2388.05,8128.947969924812,8.4128,391.0,38.8,23.3274,03/01/2020 06:50,0
59,1,84,0.0005,0.0002,21.61,47.38,521.54,2388.06,8131.54,8.4139,392.0,38.73,23.2653,03/01/2020 06:55,0
60,1,85,0.0025,0.0003,21.61,47.36,522.3,2388.05,8135.31,8.4499,392.0,39.01,23.284,03/01/2020 07:00,0
61,1,86,-0.0012,0.0004,21.61,47.38,521.82,2388.09,8130.06,8.4173,394.0,38.94,23.3945,03/01/2020 07:05,0
62,1,88,0.0029,0.0003,21.61,47.46,522.2,2388.04,8131.47,8.4586,392.0,38.9,23.3086,03/01/2020 07:15,0
63,1,89,0.0008,-0.0001,21.61,47.46,521.55,2388.08,8135.15,8.4489,392.0,38.95,23.3288,03/01/2020 07:21,0
64,1,90,0.0017,-0.0001,21.61,47.32,521.49,2388.10828358209,8129.72,8.3961,391.0,38.98,23.4712,03/01/2020 07:25,0
65,1,92,0.001,-0.0002,21.61,47.45,521.91,2388.05,8131.39,8.3982,392.0,38.84373134328359,23.3522,03/01/2020 07:36,0
66,1,93,0.0032,0.0002,21.61,47.46,521.43,2388.08,8133.15,8.421,392.0,38.86,23.2477,03/01/2020 07:40,0
67,1,94,-0.0021,0.0002,21.61,47.48,521.61,2388.07,8132.4,8.4524,393.0,38.85,23.3758,03/01/2020 07:45,0
68,1,95,0.0019,0.0003,21.61,47.38,521.92,2388.02,8131.63,8.436072794117647,394.0,38.76,23.3269,03/01/2020 07:50,0
69,1,96,-0.0034,0.0001,21.61,47.39,521.66,2388.06,8130.69,8.4311,392.0,38.88,23.3255,03/01/2020 07:55,0
70,1,97,0.0035,-0.0003,21.61,47.46,521.67,2388.06,8128.74,8.4105,392.0,39.01,23.2963,03/01/2020 08:00,0
71,1,98,0.0006,0.0004,21.61,47.37,522.31,2388.06,8127.89,8.4012,391.0,38.96,23.2554,03/01/2020 08:05,0
72,1,100,-0.0021,-0.0003,21.61,47.64,521.55,2388.08,8132.49,8.4241,392.0,38.93,23.409,03/01/2020 08:15,0
73,1,101,0.0012,0.0003,21.61,47.62,521.89,2388.08,8125.97,8.4353,391.0,38.75,23.4149,03/01/2020 08:20,0
74,1,103,-0.0013,0.0001,21.61,47.57,521.41,2388.1,8124.4,8.4263,392.0,38.69,23.4289,03/01/2020 08:30,0
75,1,104,-0.0001,0.0001,21.61,47.34,522.38,2388.09,8131.89,8.4021,392.0,38.96,23.3393,03/01/2020 08:35,0
76,1,105,0.0024,0.0004,21.61,47.31,521.81,2388.08,8128.947969924812,8.4326,393.0,38.77,23.3857,03/01/2020 08:40,0
77,1,106,0.0,0.0001,21.61,47.44,521.51,2388.09,8126.38,8.4664,392.0,39.08,23.4148,03/01/2020 08:45,0
78,1,108,0.0008,0.0001,21.61,47.61,521.52,2388.03,8131.52,8.4133,393.0,38.75,23.3032,03/01/2020 08:55,0
79,1,109,-0.0011,-0.0003,21.61,47.58,521.62,2388.11,8130.97,8.3757,394.0,39.05,23.3561,03/01/2020 09:00,0
80,1,110,0.0,0.0004,21.61,47.55,522.01,2388.12,8127.16,8.4638,393.0,39.06,23.2951,03/01/2020 09:05,0
81,1,111,0.0008,0.0004,21.61,47.62,521.53,2388.14,8132.4,8.4447,392.0,38.92,23.2135,03/01/2020 09:10,0
82,1,113,0.0007,0.0001,21.61,47.46,521.75,2388.16,8129.32,8.458,393.0,38.9,23.3101,03/01/2020 09:20,0
83,1,114,0.0003,0.0004,21.61,47.58,521.68,2388.15,8128.947969924812,8.429,394.0,38.89,23.3754,03/01/2020 09:25,0
84,1,115,-0.0017,0.0005,21.61,47.43,521.36,2388.12,8127.6,8.4345,393.0,38.93,23.3022,03/01/2020 09:30,0
85,1,116,-0.002,-0.0003,21.61,47.43,521.6,2388.05,8134.46,8.4059,394.0,39.03,23.3512,03/01/2020 09:35,0
86,1,120,-0.0024,0.0005,21.61,47.6,521.34,2388.1,8125.57,8.4029,393.0,38.81,23.3061,03/01/2020 09:55,0
87,1,121,-0.0033,0.0004,21.61,47.44,521.3,2388.04,8133.94,8.4263,394.0,38.63,23.422,03/01/2020 10:00,0
88,1,122,0.0026,-0.0001,21.61,47.6,520.92,2388.12,8131.81,8.4256,393.0,38.86,23.2793,03/01/2020 10:05,0
89,1,123,-0.0003455223880597015,-0.0002,21.61,47.41,521.6,2388.17,8129.72,8.4396,392.0,38.9,23.292,03/01/2020 10:10,0
90,1,124,0.0025,0.0002,21.61,47.55,521.4,2388.13,8133.82,8.4416,393.0,38.8,23.2341,03/01/2020 10:15,0
91,1,125,-0.0004,0.0005,21.61,47.63,521.57,2388.11,8126.33,8.4079,394.0,38.68,23.3039,03/01/2020 10:20,0
92,1,126,0.0016,0.0001,21.61,47.49,521.35,2388.08,8130.94,8.4378,392.0,38.85,23.2289,03/01/2020 10:25,0
93,1,129,-0.0033,0.0003,21.61,47.61,522.02,2388.13,8127.33,8.4681,393.0,38.84373134328359,23.2656,03/01/2020 10:40,0
94,1,130,-0.0007,0.0002,21.61,47.46,521.49,2388.07,8125.29,8.3938,394.0,38.71,23.3461,03/01/2020 10:45,0
95,1,131,0.0002,-0.0001,21.61,47.7,521.45,2388.13,8126.38,8.4328,391.0,38.73,23.3435,03/01/2020 10:50,0
96,1,133,0.0032,-0.0002,21.61,47.57,521.23,2388.09,8130.93,8.4604,394.0,38.95,23.2521,03/01/2020 11:00,0
97,1,134,-0.0014,0.0,21.61,47.75,521.52,2388.13,8131.3,8.4293,393.0,38.68,23.2833,03/01/2020 11:05,0
98,1,135,-0.0017,0.0001,21.61,47.34,520.99,2388.12,8129.34,8.4242,392.0,38.85,23.2744,03/01/2020 11:10,0
99,1,136,0.003,-0.0001,21.61,47.43,521.54,2388.11,8128.947969924812,8.4469,393.0,38.76,23.1699,03/01/2020 11:15,0
100,1,137,-0.0011,0.0,21.61,47.89,521.63,2388.12,8128.81,8.449,394.0,38.87,23.2593,03/01/2020 11:20,0
101,1,138,-0.0011,0.0001,21.61,47.4,521.57,2388.18,8129.67,8.4208,392.0,39.0,23.3664,03/01/2020 11:25,0
102,1,139,-0.0014,0.0005,21.61,47.67,521.03,2388.15,8124.97,8.4621,394.0,38.88,23.3422,03/01/2020 11:30,0
103,1,141,-0.0023,0.0005,21.61,47.49,521.06,2388.16,8120.93,8.4641,394.0,39.02,23.2382,03/01/2020 11:40,0
104,1,144,0.0025,-0.0004,21.61,47.57,521.11,2388.17,8125.47,8.4601,393.0,38.75,23.30615259259259,03/01/2020 11:55,0
105,1,145,-0.0004,-0.0001,21.61,47.51933333333333,521.13,2388.15,8130.91,8.4644,395.0,38.67,23.149,03/01/2020 12:00,0
106,1,146,0.0002,-0.0003,21.61,47.63,521.13,2388.12,8129.19,8.4312,392.0,38.69,23.3233,03/01/2020 12:05,0
107,1,148,0.001,-0.0004,21.61,47.49,521.08,2388.15,8124.48,8.4276,392.0,38.77,23.2498,03/01/2020 12:15,0
108,1,151,-0.0019,-0.0001,21.61,47.58,520.94,2388.22,8127.21,8.4612,394.0,38.56,23.2277,03/01/2020 12:30,0
109,1,152,0.0009,-0.0001,21.61,47.72,520.39,2388.19,8119.0,8.4572,395.0,38.77,23.2369,03/01/2020 12:35,0
110,1,153,0.0011,-0.0004,21.61,47.74,520.69,2388.17,8124.14,8.4435,393.0,38.78,23.1719,03/01/2020 12:40,0
111,1,154,-0.0012,0.0,21.61,47.73,520.72,2388.18,8129.24,8.4794,394.0,38.82,23.2366,03/01/2020 12:45,0
112,1,156,-0.002,0.0003,21.61,47.58,520.75,2388.16,8128.48,8.4432,392.74436090225566,38.77,23.2791,03/01/2020 12:55,0
113,1,158,-0.0023,0.0001,21.61,47.68,521.4833333333333,2388.22,8126.33,8.4368,394.0,38.75,23.2894,03/01/2020 13:05,0
114,1,159,-0.0006,0.0001,21.61,47.76,520.65,2388.23,8127.61,8.4403,394.0,38.76,23.253,03/01/2020 13:10,0
115,1,163,0.0003,-0.0004,21.61,47.89,520.3,2388.2,8124.06,8.5129,393.0,38.65,23.1419,03/01/2020 13:30,1
116,1,164,0.0005,-0.0002,21.61,47.7,521.4833333333333,2388.28,8124.63,8.4803,394.0,38.62,23.1761,03/01/2020 13:35,1
117,1,165,0.001,0.0004,21.61,47.89,520.69,2388.24,8126.53,8.4922,393.0,38.59,23.2129,03/01/2020 13:40,1
118,1,166,-0.0022,-0.0003,21.61,47.86,521.4833333333333,2388.22,8119.14,8.4663,395.0,38.62,23.145,03/01/2020 13:45,1
119,1,167,0.0012,0.0003,21.61,47.85,520.49,2388.10828358209,8122.41,8.4632,394.0,38.77,23.3011,03/01/2020 13:50,1
120,1,168,-0.0043,0.0002,21.61,47.84,520.78,2388.19,8124.44,8.4925,393.0,38.76,23.277,03/01/2020 13:55,1
121,1,169,-0.0017,0.0004,21.61,47.88,520.44,2388.18,8125.3,8.4767,394.0,38.58,23.187,03/01/2020 14:00,1
122,1,172,-0.0014,-0.0003,21.61,48.07,520.54,2388.26,8120.08,8.4595,393.0,38.65,23.1585,03/01/2020 14:15,1
123,1,174,-0.0001,-0.0002,21.61,48.0,520.22,2388.10828358209,8119.17,8.4476,393.0,38.57,23.0357,03/01/2020 14:25,1
124,1,175,0.0001,0.0002,21.61,47.86,520.38,2388.22,8125.76,8.489,394.0,38.58,23.1573,03/01/2020 14:30,1
125,1,176,-0.002,-0.0003,21.61,47.84,519.8,2388.2,8123.8,8.4853,394.0,38.72,23.2491,03/01/2020 14:35,1
126,1,178,-0.0001,0.0002,21.61,48.0,520.2,2388.2,8116.56,8.477,395.0,38.65,23.177,03/01/2020 14:45,1
127,1,179,0.0023,-0.0003,21.61,48.02,520.38,2388.18,8116.84,8.4947,395.0,38.77,23.1888,03/01/2020 14:50,1
128,1,180,-0.0024,0.0,21.61,47.85,519.84,2388.28,8122.57,8.4737,395.0,38.86,23.007,03/01/2020 14:55,1
129,1,183,0.0001,0.0001,21.61,48.03,520.05,2388.23,8117.8,8.5041,396.0,38.56,23.1302,03/01/2020 15:10,1
130,1,184,0.0004,0.0003,21.61,48.07,519.77,2388.28,8115.61,8.5133,395.0,38.43,23.0146,03/01/2020 15:15,1
131,1,186,0.0027,-0.0003,21.61,48.12,520.08,2388.25,8123.45,8.5227,397.0,38.47,23.0564,03/01/2020 15:25,1
132,1,187,-0.0047,0.0,21.61,48.23,519.53,2388.28,8115.67,8.5218,396.0,38.42,23.0822,03/01/2020 15:30,1
133,1,188,-0.0067,0.0003,21.61,48.0,519.79,2388.23,8117.69,8.5207,396.0,38.51,22.9588,03/01/2020 15:35,1
134,1,189,-0.0006,0.0002,21.61,48.08,519.58,2388.33,8117.51,8.5183,395.0,38.48,23.1127,03/01/2020 15:40,1
135,1,191,0.0,-0.0004,21.61,48.15,519.57,2388.3,8114.61,8.5174,394.0,38.45,23.1295,03/01/2020 15:50,1
136,1,192,0.0009,0.0,21.61,48.25,520.08,2388.32,8110.93,8.5113,396.0,38.48,22.9649,03/01/2020 15:55,1
143,2,1,-0.0018,0.0006,21.6,46.93,522.33,2388.06,8137.72,8.3905,391.0,38.94,23.4585,03/01/2020 16:00,0
144,2,5,0.0005,0.0004,21.6,47.25,522.27,2387.94,8136.67,8.3867,390.0,39.18,23.4234,03/01/2020 16:20,0
145,2,6,-0.001,0.0004,21.61,47.05,522.8,2387.99,8133.65,8.38,392.0,39.15,23.427,03/01/2020 16:25,0
146,2,7,0.0001,-0.0002,21.61,47.1,522.14,2388.04,8136.33,8.3941,391.0,39.1,23.4718,03/01/2020 16:30,0
147,2,8,0.0015,-0.0004,21.61,47.2,522.77,2387.96,8137.92,8.3861,391.0,39.11,23.4381,03/01/2020 16:35,0
148,2,9,0.0017,-0.0004,21.6,47.380686274509806,522.4,2387.98,8145.29,8.3868,390.0,39.06,23.33670980392157,03/01/2020 16:40,0
149,2,11,0.0006,0.0004,21.61,47.21,522.2,2388.03,8135.85,8.4188,392.0,39.23,23.3888,03/01/2020 16:50,0
150,2,12,0.0002,0.0006,21.61,47.13,521.8514285714285,2387.97,8136.49,8.3925,392.0,39.12,23.4201,03/01/2020 16:55,0
151,2,13,0.0007,0.0005,21.61,47.03,522.33,2387.99,8140.61,8.3742,391.0,38.88,23.4317,03/01/2020 17:00,0
152,2,14,-0.0024,-0.0004,21.61,47.12,523.07,2387.98,8140.09,8.3887,391.0,38.93,23.4074,03/01/2020 17:05,0
153,2,15,-0.0012,-0.0003,21.61,47.17,521.96,2388.02,8137.72,8.3704,393.0,38.94,23.4311,03/01/2020 17:10,0
154,2,16,-0.001,0.0003,21.61,47.24,522.49,2387.95,8133.45,8.3805,392.0,39.01,23.4462,03/01/2020 17:15,0
155,2,17,0.0003,-0.0001,21.61,47.13,522.71,2388.08,8134.78,8.3714,391.0,39.04,23.5245,03/01/2020 17:20,0
156,2,18,0.0014,0.0001,21.61,47.22,522.92,2388.0,8143.1846341463415,8.4053,391.0,39.0,23.4203,03/01/2020 17:25,0
157,2,19,0.0025,0.0001,21.61,47.14,522.38,2387.98,8137.51,8.4035,392.0,39.1,23.4102,03/01/2020 17:30,0
158,2,20,0.0042,-0.0004,21.61,47.14,522.54,2387.94,8139.83,8.3698,391.0,39.02,23.3821,03/01/2020 17:35,0
159,2,21,-0.0023,0.0001,21.61,47.04,522.58,2388.01,8136.57,8.3954,391.0,39.24,23.5014,03/01/2020 17:40,0
160,2,22,0.0024,0.0006,21.61,47.17,521.73,2388.04,8140.79,8.3792,391.0,38.98,23.4241,03/01/2020 17:45,0
161,2,23,-0.0013,0.0003,21.61,47.21,522.26,2388.07,8131.57,8.3937,393.0,39.1,23.2867,03/01/2020 17:50,0
162,2,25,0.0063,0.0001,21.61,47.19,522.31,2388.03,8136.97,8.3959,391.0,38.99,23.4883,03/01/2020 18:00,0
163,2,26,-0.0011,0.0003,21.61,47.12,522.8,2388.0,8137.27,8.3472,391.0,38.96,23.4691,03/01/2020 18:05,0
164,2,27,0.0006,0.0005,21.61,47.03,522.11,2388.06,8137.73,8.4077,392.0,38.96,23.4275,03/01/2020 18:10,0
165,2,28,0.0037,0.0005,21.61,46.99,522.68,2387.93,8136.55,8.3734,390.0,38.95,23.4395,03/01/2020 18:15,0
166,2,30,0.0012,0.0,21.61,47.2,522.43,2388.0,8136.63,8.419,391.0,39.1,23.3985,03/01/2020 18:25,0
167,2,33,-0.0032,0.0004,21.61,47.09,522.26,2387.99,8133.62,8.4102,392.0,39.01,23.4434,03/01/2020 18:40,0
168,2,34,0.0042,0.0003,21.61,47.22,522.64,2387.96,8139.8,8.4188,390.0,38.87,23.4571,03/01/2020 18:45,0
169,2,36,0.0013,0.0004,21.61,47.21,522.32,2388.0,8142.06,8.3709,391.0,39.12,23.3881,03/01/2020 18:55,0
170,2,37,0.005,0.0005,21.61,47.16,522.69,2388.02,8136.08,8.3609,391.0,39.08,23.4047,03/01/2020 19:00,0
171,2,38,0.0013,0.0005,21.61,47.22,522.13,2388.05,8134.91,8.4069,390.0,39.09,23.4191,03/01/2020 19:05,0
172,2,40,0.0005,0.0005,21.61,47.22,522.3,2388.01,8137.16,8.401,391.0,38.84,23.4402,03/01/2020 19:15,0
173,2,41,0.0015,0.0006,21.61,47.26,522.22,2388.01,8140.84,8.3856,392.0,38.94,23.3071,03/01/2020 19:20,0
174,2,42,0.0016,0.0005,21.61,47.14,522.87,2388.0,8135.3,8.3449,392.0,39.08,23.4631,03/01/2020 19:25,0
175,2,45,-0.0014,-0.0002,21.61,47.17,522.27,2388.0,8141.93,8.3847,390.0,38.99,23.4284,03/01/2020 19:40,0
176,2,47,0.0021,0.0003,21.61,47.03,522.73,2388.0,8136.97,8.3756,391.0,38.89,23.3447,03/01/2020 19:50,0
177,2,50,-0.0002,-0.0004,21.61,47.16,522.16,2388.0533170731705,8138.46,8.4042,391.0,39.1,23.353,03/01/2020 20:05,0
178,2,51,0.0008,0.0003,21.61,47.03,522.34,2388.01,8137.89,8.3731,392.0,38.9,23.3239,03/01/2020 20:10,0
179,2,52,-0.001,-0.0001,21.6,47.09,522.58,2388.0533170731705,8134.22,8.4064,392.0,39.08,23.3668,03/01/2020 20:15,0
180,2,53,-0.0023,-0.0001,21.61,46.98,522.73,2388.01,8137.95,8.411,391.0,38.95,23.5307,03/01/2020 20:20,0
181,2,55,-0.0035,-0.0004,21.6,47.18,522.7,2388.02,8134.65,8.4077,392.0,39.11,23.3779,03/01/2020 20:30,0
182,2,57,-0.0003,-0.0001,21.61,47.17,521.98,2387.96,8136.88,8.4008,391.0,39.23,23.4544,03/01/2020 20:40,0
183,2,59,0.0032,0.0,21.61,47.380686274509806,522.78,2388.0,8136.9,8.423759708737864,391.0,39.04,23.4347,03/01/2020 20:50,0
184,2,60,0.0014,-0.0002,21.61,47.12,521.93,2388.02,8141.27,8.4003,393.0,39.11,23.3928,03/01/2020 20:55,0
185,2,61,-0.0044,0.0001,21.61,47.09,522.69,2387.99,8135.88,8.4006,391.0,39.04,23.2745,03/01/2020 21:00,0
186,2,62,-0.0017,-0.0001,21.61,47.27,521.78,2387.98,8135.86,8.4193,391.0,39.23,23.4442,03/01/2020 21:05,0
187,2,63,-0.0014,0.0005,21.61,47.17,522.15,2388.01,8134.72,8.3867,392.0,38.98,23.325,03/01/2020 21:10,0
188,2,64,0.0,0.0001,21.61,47.380686274509806,522.18,2388.05,8136.88,8.4144,391.0,39.07,23.398,03/01/2020 21:15,0
189,2,66,0.0005,-0.0002,21.61,47.17,522.65,2387.98,8138.89,8.4121,392.0,39.0,23.426,03/01/2020 21:25,0
190,2,67,-0.0036,-0.0001,21.61,46.96,522.58,2388.0,8138.81,8.3761,393.0,39.02,23.3933,03/01/2020 21:30,0
191,2,68,0.0008,0.0001,21.61,47.16,522.2,2388.0,8137.75,8.4141,392.0,38.97,23.4076,03/01/2020 21:35,0
192,2,70,0.0005,-0.0002,21.61,47.26,522.17,2387.98,8134.06,8.4118,392.0,39.06,23.3894,03/01/2020 21:45,0
193,2,71,-0.0004,0.0002,21.60930693069307,47.24,522.02,2387.94,8131.12,8.3993,392.0,38.92,23.317,03/01/2020 21:50,0
194,2,72,-0.0007,-0.0001,21.60930693069307,47.19,522.4,2388.02,8136.69,8.4012,392.0,39.12,23.4393,03/01/2020 21:55,0
195,2,73,-0.0004,-0.0001,21.61,47.15,522.95,2388.02,8142.06,8.3896,390.0,38.94,23.4567,03/01/2020 22:00,0
196,2,74,-0.0013,0.0001,21.6,47.25,521.97,2388.03,8138.8,8.3932,391.0,39.07,23.4015,03/01/2020 22:05,0
197,2,76,-0.0037,0.0001,21.61,46.99,522.08,2388.07,8136.29,8.3629,392.0,38.88,23.4591,03/01/2020 22:15,0
198,2,80,0.0027,0.0,21.61,47.2,523.26,2388.03,8138.12,8.3889,391.0,38.95,23.4198,03/01/2020 22:35,0
199,2,81,0.0006,-0.0001,21.61,47.25,522.62,2388.07,8135.81,8.4162,391.0,39.08,23.4685,03/01/2020 22:40,0
200,2,82,0.0035,-0.0001,21.61,47.19,522.3,2388.0,8135.13,8.3428,391.0,39.17,23.4491,03/01/2020 22:45,0
201,2,83,0.0,-0.0004,21.61,47.13,523.13,2388.04,8135.08,8.3997,390.0,39.0,23.4056,03/01/2020 22:50,0
202,2,84,-0.0037,-0.0004,21.61,47.29,522.75,2387.92,8138.11,8.394,392.0,38.95,23.4055,03/01/2020 22:55,0
