,B_2,B_3,B_10,B_15,B_16,B_17,B_18,B_19,B_21,B_24,B_25,Good/Bad
186,-0.0047,0.0,21.61,48.23,519.53,2388.28,8115.67,8.5218,396.0,38.42,23.0822,1
187,-0.0067,0.0003,21.61,48.0,519.79,2388.23,8117.69,8.5207,396.0,38.51,22.9588,1
188,-0.0006,0.0002,21.61,48.08,519.58,2388.33,8117.51,8.5183,395.0,38.48,23.1127,1
189,-0.0027,0.0001,21.61,48.33,520.04,2388.35,8112.58,8.5223,398.0,38.49,23.0675,1
190,0.0,-0.0004,21.61,48.15,519.57,2388.3,8114.61,8.5174,394.0,38.45,23.1295,1
191,0.0009,0.0,21.61,48.25,520.08,2388.32,8110.93,8.5113,396.0,38.48,22.9649,1
192,-0.0018,0.0006,21.6,46.93,522.33,2388.06,8137.72,8.3905,391.0,38.94,23.4585,0
193,0.0043,-0.0003,21.61,47.24,522.7,2387.98,8131.09,8.4167,392.0,39.06,23.4085,0
194,0.0018,0.0003,21.6,47.22,522.58,2387.99,8140.58,8.3802,391.0,39.11,23.425,0
195,0.0035,-0.0004,21.61,47.1,522.49,2387.93,8140.44,8.4018,391.0,39.13,23.5027,0
196,0.0005,0.0004,21.6,47.25,522.27,2387.94,8136.67,8.3867,390.0,39.18,23.4234,0
197,-0.001,0.0004,21.61,47.05,522.8,2387.99,8133.65,8.38,392.0,39.15,23.427,0
198,0.0001,-0.0002,21.61,47.1,522.14,2388.04,8136.33,8.3941,391.0,39.1,23.4718,0
199,0.0015,-0.0004,21.61,47.2,522.77,2387.96,8137.92,8.3861,391.0,39.11,23.4381,0
200,0.0017,-0.0004,21.6,47.391165413533834,522.4,2387.98,8145.29,8.3868,390.0,39.06,23.336138721804513,0
202,0.0006,0.0004,21.61,47.21,522.2,2388.03,8135.85,8.4188,392.0,39.23,23.3888,0
203,0.0002,0.0006,21.61,47.13,521.8266920152091,2387.97,8136.49,8.3925,392.0,39.12,23.4201,0
204,0.0007,0.0005,21.61,47.03,522.33,2387.99,8140.61,8.3742,391.0,38.88,23.4317,0
205,-0.0024,-0.0004,21.61,47.12,523.07,2387.98,8140.09,8.3887,391.0,38.93,23.4074,0
206,-0.0012,-0.0003,21.61,47.17,521.96,2388.02,8137.72,8.3704,393.0,38.94,23.4311,0
207,-0.001,0.0003,21.61,47.24,522.49,2387.95,8133.45,8.3805,392.0,39.01,23.4462,0
208,0.0003,-0.0001,21.61,47.13,522.71,2388.08,8134.78,8.3714,391.0,39.04,23.5245,0
209,0.0014,0.0001,21.61,47.22,522.92,2388.0,8143.429774436089,8.4053,391.0,39.0,23.4203,0
210,0.0025,0.0001,21.61,47.14,522.38,2387.98,8137.51,8.4035,392.0,39.1,23.4102,0
211,0.0042,-0.0004,21.61,47.14,522.54,2387.94,8139.83,8.3698,391.0,39.02,23.3821,0
212,-0.0023,0.0001,21.61,47.04,522.58,2388.01,8136.57,8.3954,391.0,39.24,23.5014,0
213,0.0024,0.0006,21.61,47.17,521.73,2388.04,8140.79,8.3792,391.0,38.98,23.4241,0
214,-0.0013,0.0003,21.61,47.21,522.26,2388.07,8131.57,8.3937,393.0,39.1,23.2867,0
215,-0.0019,0.0,21.61,47.15,522.25,2387.97,8136.16,8.3866,391.0,39.18,23.3981,0
216,0.0063,0.0001,21.61,47.19,522.31,2388.03,8136.97,8.3959,391.0,38.99,23.4883,0
217,-0.0011,0.0003,21.61,47.12,522.8,2388.0,8137.27,8.3472,391.0,38.96,23.4691,0
218,0.0006,0.0005,21.61,47.03,522.11,2388.06,8137.73,8.4077,392.0,38.96,23.4275,0
219,0.0037,0.0005,21.61,46.99,522.68,2387.93,8136.55,8.3734,390.0,38.95,23.4395,0
220,-0.0032,-0.0003,21.61,47.11,522.26,2388.02,8140.77,8.37,390.0,38.97,23.4249,0
221,0.0012,0.0,21.61,47.2,522.43,2388.0,8136.63,8.419,391.0,39.1,23.3985,0
223,0.0013,-0.0001,21.61,47.12,522.54,2387.98,8138.76,8.3783,390.0,38.97,23.4006,0
224,-0.0032,0.0004,21.61,47.09,522.26,2387.99,8133.62,8.4102,392.0,39.01,23.4434,0
225,0.0042,0.0003,21.61,47.22,522.64,2387.96,8139.8,8.4188,390.0,38.87,23.4571,0
226,0.002,0.0002,21.61,47.25,522.0,2388.0,8142.08,8.4164,392.3731343283582,39.06,23.5283,0
227,0.0013,0.0004,21.61,47.21,522.32,2388.0,8142.06,8.3709,391.0,39.12,23.3881,0
228,0.005,0.0005,21.61,47.16,522.69,2388.02,8136.08,8.3609,391.0,39.08,23.4047,0
229,0.0013,0.0005,21.61,47.22,522.13,2388.05,8134.91,8.4069,390.0,39.09,23.4191,0
230,-0.0018,0.0005,21.61,47.2,522.79,2388.05,8138.78,8.3755,391.0,39.02,23.4489,0
231,0.0005,0.0005,21.61,47.22,522.3,2388.01,8137.16,8.401,391.0,38.84,23.4402,0
232,0.0015,0.0006,21.61,47.26,522.22,2388.01,8140.84,8.3856,392.0,38.94,23.3071,0
233,0.0016,0.0005,21.61,47.14,522.87,2388.0,8135.3,8.3449,392.0,39.08,23.4631,0
234,0.0027,0.0,21.61,47.08,522.9,2388.02,8135.14,8.4144,392.0,38.92,23.4966,0
235,0.0003,0.0003,21.61,47.22,522.77,2388.06,8137.23,8.4087,392.0,39.03,23.4546,0
236,-0.0014,-0.0002,21.61,47.17,522.27,2388.0,8141.93,8.3847,390.0,38.99,23.4284,0
238,0.0021,0.0003,21.61,47.03,522.73,2388.0,8136.97,8.3756,391.0,38.89,23.3447,0
239,0.0006,-0.0001,21.61,47.18,522.41,2387.98,8134.97,8.3821,392.0,39.23,23.4336,0
240,-0.0006,0.0005,21.61,47.18,522.83,2387.99,8143.429774436089,8.4024,390.0,39.17,23.4871,0
241,-0.0002,-0.0004,21.61,47.16,522.16,2388.055,8138.46,8.4042,391.0,39.1,23.353,0
242,0.0008,0.0003,21.61,47.03,522.34,2388.01,8137.89,8.3731,392.0,38.9,23.3239,0
243,-0.001,-0.0001,21.6,47.09,522.58,2388.055,8134.22,8.4064,392.0,39.08,23.3668,0
244,-0.0023,-0.0001,21.61,46.98,522.73,2388.01,8137.95,8.411,391.0,38.95,23.5307,0
246,-0.0035,-0.0004,21.6,47.18,522.7,2388.02,8134.65,8.4077,392.0,39.11,23.3779,0
247,-0.0035,0.0002,21.61,47.03,522.1,2388.01,8139.72,8.393,391.0,39.1,23.3796,0
248,-0.0003,-0.0001,21.61,47.17,521.98,2387.96,8136.88,8.4008,391.0,39.23,23.4544,0
249,0.0,-0.0002,21.61,47.3,522.24,2387.98,8134.92,8.3731,391.0,39.15,23.3861,0
250,0.0032,0.0,21.61,47.391165413533834,522.78,2388.0,8136.9,8.424334572490707,391.0,39.04,23.4347,0
251,0.0014,-0.0002,21.61,47.12,521.93,2388.02,8141.27,8.4003,393.0,39.11,23.3928,0
252,-0.0044,0.0001,21.61,47.09,522.69,2387.99,8135.88,8.4006,391.0,39.04,23.2745,0
253,-0.0017,-0.0001,21.61,47.27,521.78,2387.98,8135.86,8.4193,391.0,39.23,23.4442,0
254,-0.0014,0.0005,21.61,47.17,522.15,2388.01,8134.72,8.3867,392.0,38.98,23.325,0
255,0.0,0.0001,21.61,47.391165413533834,522.18,2388.05,8136.88,8.4144,391.0,39.07,23.398,0
257,0.0005,-0.0002,21.61,47.17,522.65,2387.98,8138.89,8.4121,392.0,39.0,23.426,0
258,-0.0036,-0.0001,21.61,46.96,522.58,2388.0,8138.81,8.3761,393.0,39.02,23.3933,0
259,0.0008,0.0001,21.61,47.16,522.2,2388.0,8137.75,8.4141,392.0,38.97,23.4076,0
260,-0.0004,0.0,21.61,47.33,522.21,2387.97,8136.47,8.4116,392.0,39.09,23.3783,0
261,0.0005,-0.0002,21.61,47.26,522.17,2387.98,8134.06,8.4118,392.0,39.06,23.3894,0
262,-0.0004,0.0002,21.6093536121673,47.24,522.02,2387.94,8131.12,8.3993,392.0,38.92,23.317,0
263,-0.0007,-0.0001,21.6093536121673,47.19,522.4,2388.02,8136.69,8.4012,392.0,39.12,23.4393,0
264,-0.0004,-0.0001,21.61,47.15,522.95,2388.02,8142.06,8.3896,390.0,38.94,23.4567,0
